objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
56548,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56469,319,Бизнес,Монолит-кирпич,1,Нет,0,B
56459,86,Комфорт,Монолит-кирпич,1,Нет,0,B
56437,73,Типовой,Панель,1,Нет,0,C
56347,115,Комфорт,Монолит-кирпич,1,Нет,0,B
56346,115,Комфорт,Монолит-кирпич,1,Нет,0,B
56256,152,Комфорт,Монолит-кирпич,1,Нет,0,A
55580,305,Комфорт,Другое,1,Нет,0,B
55578,356,Комфорт,Другое,1,Нет,0,B
55555,195,Комфорт,Монолит-кирпич,1,Нет,0,C
55454,127,Комфорт,Монолит-кирпич,1,Нет,35,B
55448,285,Комфорт,Монолит-кирпич,1,Нет,0,C
55447,296,Комфорт,Монолит-кирпич,1,Нет,0,A
55426,117,Типовой,Монолит-кирпич,1,Нет,0,A
55423,216,Типовой,Монолит-кирпич,1,Нет,0,A
55417,140,Типовой,Монолит-кирпич,1,Нет,0,A
55277,840,Комфорт,Монолит-кирпич,1,Нет,0,A
55207,613,Комфорт,Монолит-кирпич,1,Нет,133,C
55162,504,Комфорт,Монолит-кирпич,1,Нет,0,B
54920,68,Комфорт,Другое,1,Нет,0,B
54734,660,Комфорт,Монолит-кирпич,1,Нет,0,A
54733,719,Комфорт,Монолит-кирпич,1,Нет,0,A
54649,72,Комфорт,Панель,1,Нет,0,B
54648,72,Комфорт,Панель,1,Нет,0,B
54647,72,Комфорт,Панель,1,Нет,0,B
54646,71,Комфорт,Панель,1,Нет,0,B
54589,237,Комфорт,Другое,1,Нет,0,B
54588,383,Комфорт,Другое,1,Нет,0,B
54466,64,Комфорт,Монолит-кирпич,1,Нет,0,B
54465,67,Комфорт,Монолит-кирпич,1,Нет,0,B
54462,126,Комфорт,Монолит-кирпич,1,Нет,0,B
54461,127,Комфорт,Монолит-кирпич,1,Нет,0,B
54460,127,Комфорт,Монолит-кирпич,1,Нет,0,B
54182,12,Комфорт,Другое,1,Нет,0,A
54181,21,Комфорт,Другое,1,Нет,0,B
54180,21,Комфорт,Другое,1,Нет,0,B
54075,352,Комфорт,Монолит-кирпич,1,Нет,0,A
53979,417,Комфорт,Панель,1,Нет,0,C
53945,203,Типовой,Монолит-кирпич,1,Нет,0,B
53944,206,Типовой,Монолит-кирпич,1,Нет,0,B
53884,215,Типовой,Кирпич,1,Нет,0,B
53883,205,Типовой,Кирпич,1,Нет,0,B
53879,138,Комфорт,Монолит-кирпич,1,Есть,0,B
53878,124,Комфорт,Монолит-кирпич,1,Есть,0,B
53877,136,Комфорт,Монолит-кирпич,1,Есть,0,B
53876,149,Комфорт,Монолит-кирпич,1,Есть,0,B
53875,144,Комфорт,Монолит-кирпич,1,Есть,0,B
53826,192,Комфорт,Другое,1,Нет,0,B
53797,143,Комфорт,Монолит-кирпич,1,Есть,0,B
53796,64,Комфорт,Монолит-кирпич,1,Есть,0,B
53795,145,Комфорт,Монолит-кирпич,1,Есть,0,B
53794,144,Комфорт,Монолит-кирпич,1,Нет,0,B
53665,374,Комфорт,Монолит-кирпич,1,Нет,0,A
53612,203,Комфорт,Монолит-кирпич,0,Нет,0,A
53611,243,Комфорт,Монолит-кирпич,0,Нет,0,A
53609,117,Комфорт,Монолит-кирпич,0,Нет,0,A
53442,762,Комфорт,Другое,1,Нет,0,C
53441,142,Комфорт,Другое,1,Нет,0,C
53440,785,Комфорт,Другое,1,Нет,0,C
53406,5,Типовой,Блоки,1,Нет,0,D
53405,5,Типовой,Блоки,1,Нет,0,D
53404,8,Типовой,Кирпич,1,Нет,0,D
53380,322,Комфорт,Другое,1,Нет,0,B
53377,552,Комфорт,Монолит-кирпич,1,Нет,0,C
53368,473,Комфорт,Монолит-кирпич,1,Нет,0,B
53367,218,Комфорт,Монолит-кирпич,1,Нет,0,B
53366,568,Комфорт,Монолит-кирпич,1,Нет,0,B
52763,270,Комфорт,Монолит-кирпич,1,Нет,0,C
52762,87,Комфорт,Монолит-кирпич,2,Есть,0,C
52761,166,Комфорт,Монолит-кирпич,1,Нет,0,C
52647,204,Комфорт,Другое,1,Нет,0,A
52646,174,Комфорт,Другое,1,Нет,0,A
52645,160,Комфорт,Другое,1,Нет,0,A
52644,466,Комфорт,Другое,1,Нет,0,A
52643,174,Комфорт,Другое,1,Нет,0,A
52464,336,Комфорт,Монолит-кирпич,1,Нет,0,A+
52460,72,Комфорт,Монолит,3,Есть,0,B
52459,72,Комфорт,Монолит,3,Есть,0,B
52458,72,Комфорт,Монолит,3,Есть,0,B
52386,96,Комфорт,Монолит-кирпич,1,Нет,0,C
52384,322,Комфорт,Другое,1,Нет,0,A
52383,203,Комфорт,Другое,1,Нет,0,A
52359,848,Комфорт,Другое,1,Нет,45,B
52194,940,Комфорт,Монолит-кирпич,1,Нет,0,B
52193,487,Комфорт,Монолит-кирпич,1,Нет,0,B
52192,550,Комфорт,Монолит-кирпич,1,Нет,0,B
52064,268,Комфорт,Монолит-кирпич,1,Нет,0,D
52032,124,Комфорт,Другое,2,Нет,0,A
52031,124,Комфорт,Другое,1,Нет,0,A
52030,424,Комфорт,Другое,2,Нет,0,A
51904,748,Комфорт,Монолит-кирпич,1,Нет,0,A
51892,248,Комфорт,Панель,1,Нет,0,B
51719,114,Типовой,Панель,1,Нет,0,B
51557,351,Комфорт,Монолит-кирпич,1,Нет,0,A
51556,327,Комфорт,Монолит-кирпич,1,Нет,0,A
51285,464,Типовой,Монолит-кирпич,1,Нет,0,B
51235,438,Комфорт,Другое,1,Нет,0,C
51234,438,Комфорт,Другое,1,Нет,0,C
51078,293,Комфорт,Другое,0,Нет,0,C
51077,293,Комфорт,Другое,0,Нет,0,C
51076,522,Комфорт,Другое,0,Нет,0,C
51052,194,Комфорт,Монолит-кирпич,2,Нет,0,C
51051,55,Комфорт,Монолит-кирпич,1,Нет,0,B
51050,112,Комфорт,Монолит-кирпич,2,Нет,0,C
51049,197,Комфорт,Монолит-кирпич,2,Нет,0,C
51048,64,Комфорт,Монолит-кирпич,1,Нет,0,B
51047,114,Комфорт,Монолит-кирпич,1,Нет,0,C
50899,593,Комфорт,Монолит-кирпич,1,Нет,0,A
50722,259,Комфорт,Другое,1,Нет,70,B
50687,82,Комфорт,Монолит-кирпич,2,Нет,0,B
50686,85,Комфорт,Монолит-кирпич,2,Нет,0,B
50685,83,Комфорт,Монолит-кирпич,1,Нет,0,B
